('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.9709070841471354, 0.3619797318070023]
('192.168.137.1', 64572)#pos#blue#[0.9709632873535157, 0.3619246306242766]
('192.168.137.1', 64572)#pos#blue#[0.972335942586263, 0.3615210639105903]
('192.168.137.1', 64572)#pos#blue#[0.9716841379801432, 0.36188119958948206]
('192.168.137.1', 64572)#pos#blue#[0.9707621892293294, 0.3629153216326678]
('192.168.137.1', 64572)#pos#blue#[0.9715840657552083, 0.362373125994647]
('192.168.137.1', 64572)#pos#blue#[0.971325429280599, 0.3621951350459346]
('192.168.137.1', 64572)#pos#blue#[0.9711675008138021, 0.36252048633716727]
('192.168.137.1', 64572)#pos#blue#[0.9713912963867187, 0.3624347828052662]
('192.168.137.1', 64572)#pos#blue#[0.9708229064941406, 0.3623286211932147]
('192.168.137.1', 64572)#pos#blue#[0.9709550221761067, 0.3627428690592448]
('192.168.137.1', 64572)#pos#blue#[0.9711320877075196, 0.36235577618634257]
('192.168.137.1', 64572)#pos#blue#[0.9713323593139649, 0.3622450934516059]
('192.168.137.1', 64572)#pos#blue#[0.9710898717244466, 0.3631037111635561]
('192.168.137.1', 64572)#pos#blue#[0.9713233311971029, 0.3623307404694734]
('192.168.137.1', 64572)#pos#blue#[0.9709247589111328, 0.36285971182364]
('192.168.137.1', 64572)#pos#blue#[0.9713029225667318, 0.36253794917353876]
('192.168.137.1', 64572)#pos#blue#[0.971192741394043, 0.36258268003110533]
('192.168.137.1', 64572)#pos#blue#[0.9711095809936523, 0.3624944051106771]
('192.168.137.1', 64572)#pos#blue#[0.9711150487263998, 0.3625227751555266]
('192.168.137.1', 64572)#pos#blue#[0.9713115056355794, 0.36245444968894674]
('192.168.137.1', 64572)#pos#blue#[0.971224594116211, 0.36198159677010994]
('192.168.137.1', 64572)#pos#blue#[0.9712601979573567, 0.3624924271195023]
('192.168.137.1', 64572)#pos#blue#[0.971446673075358, 0.3625447026005498]
('192.168.137.1', 64572)#pos#blue#[0.9709312438964843, 0.36325005425347223]
('192.168.137.1', 64572)#pos#blue#[0.9714534123738606, 0.36241991961443865]
('192.168.137.1', 64572)#pos#blue#[0.9714224497477214, 0.36275804307725695]
('192.168.137.1', 64572)#pos#blue#[0.9714785893758138, 0.3625264485677083]
('192.168.137.1', 64572)#pos#blue#[0.9714236577351888, 0.36264569317853007]
('192.168.137.1', 64572)#pos#blue#[0.9710550944010417, 0.3621562251338252]
('192.168.137.1', 64572)#pos#blue#[0.9711748123168945, 0.3624013264973958]
('192.168.137.1', 64572)#pos#blue#[0.9712174733479818, 0.3624468202944155]
('192.168.137.1', 64572)#pos#blue#[0.9715534210205078, 0.3625042950665509]
('192.168.137.1', 64572)#pos#blue#[0.9713163375854492, 0.3623407717104311]
('192.168.137.1', 64572)#pos#blue#[0.9707911173502605, 0.36315844500506367]
('192.168.137.1', 64572)#pos#blue#[0.9711095809936523, 0.3624944051106771]
('192.168.137.1', 64572)#pos#blue#[0.9713229497273763, 0.3619930691189236]
('192.168.137.1', 64572)#pos#blue#[0.9715474446614584, 0.3624277185510706]
('192.168.137.1', 64572)#pos#blue#[0.9711962381998698, 0.363151776349103]
('192.168.137.1', 64572)#pos#blue#[0.9716320037841797, 0.362566234447338]
('192.168.137.1', 64572)#pos#blue#[0.9712944030761719, 0.362621420401114]
('192.168.137.1', 64572)#pos#blue#[0.9711599985758463, 0.3628159134476273]
('192.168.137.1', 64572)#pos#blue#[0.9711218516031901, 0.36240542376482926]
('192.168.137.1', 64572)#pos#blue#[0.9713738759358724, 0.3620674415870949]
('192.168.137.1', 64572)#pos#blue#[0.971382204691569, 0.36274835092050056]
('192.168.137.1', 64572)#pos#blue#[0.9711945851643881, 0.36257830019350407]
('192.168.137.1', 64572)#pos#blue#[0.9713734308878581, 0.36232248942057294]
('192.168.137.1', 64572)#pos#blue#[0.9714669545491537, 0.36239019323278354]
('192.168.137.1', 64572)#pos#blue#[0.971606699625651, 0.36233964142975983]
('192.168.137.1', 64572)#pos#blue#[0.9714707056681315, 0.3623450385199653]
('192.168.137.1', 64572)#pos#blue#[0.9708209991455078, 0.36310453061704284]
('192.168.137.1', 64572)#pos#blue#[0.9714733759562174, 0.36261150218822336]
('192.168.137.1', 64572)#pos#blue#[0.9717443466186524, 0.36219267668547456]
('192.168.137.1', 64572)#pos#blue#[0.9712486267089844, 0.3623597039116753]
('192.168.137.1', 64572)#pos#blue#[0.9712816874186198, 0.3618609393084491]
('192.168.137.1', 64572)#pos#blue#[0.9715473175048828, 0.36240618670428243]
('192.168.137.1', 64572)#pos#blue#[0.9718488057454427, 0.3620891712330006]
('192.168.137.1', 64572)#pos#blue#[0.9713350931803385, 0.3614811650028935]
('192.168.137.1', 64572)#pos#blue#[0.9712493260701497, 0.36209004720052085]
('192.168.137.1', 64572)#pos#blue#[0.9714314142862955, 0.36179863258644385]
('192.168.137.1', 64572)#pos#blue#[0.9711025873819987, 0.36226916842990453]
('192.168.137.1', 64572)#pos#blue#[0.971368153889974, 0.36185596607349535]
('192.168.137.1', 64572)#pos#blue#[0.9713199615478516, 0.36190807201244213]
('192.168.137.1', 64572)#pos#blue#[0.971416727701823, 0.3618349145959925]
('192.168.137.1', 64572)#pos#blue#[0.9709288914998372, 0.36135547779224536]
('192.168.137.1', 64572)#pos#blue#[0.9713283538818359, 0.3618108113606771]
('192.168.137.1', 64572)#pos#blue#[0.9716580708821615, 0.36160179420753763]
('192.168.137.1', 64572)#pos#blue#[0.9710522969563802, 0.3614136872468171]
('192.168.137.1', 64572)#pos#blue#[0.9716262817382812, 0.3615566677517361]
('192.168.137.1', 64572)#pos#blue#[0.9712570826212565, 0.36167110866970487]
('192.168.137.1', 64572)#pos#blue#[0.9712188720703125, 0.36170021339699077]
('192.168.137.1', 64572)#pos#blue#[0.9704097747802735, 0.36252158836082177]
('192.168.137.1', 64572)#pos#blue#[0.9703673044840495, 0.3622396398473669]
('192.168.137.1', 64572)#pos#blue#[0.9706413269042968, 0.3627826266818576]
('192.168.137.1', 64572)#pos#blue#[0.9705069859822592, 0.3620544151023582]
('192.168.137.1', 64572)#pos#blue#[0.9705883026123047, 0.36230140968605323]
